"Name","Length"
"advanced_1.js","5493"
"advanced.js","5493"
"auth_1.js","1139"
"auth_2.js","5051"
"auth_3.js","2170"
"auth_4.js","4120"
"auth.js","5051"
"backup_1.js","6862"
"backup_2.js","6862"
"backup.js","6862"
"check-users_1.js","763"
"check-users_2.js","763"
"check-users.js","763"
"create-admin_1.js","1253"
"create-admin_2.js","1253"
"create-admin.js","1253"
"custom-icons.js","2605"
"debug-login_1.js","1581"
"debug-login_2.js","1581"
"debug-login.js","1581"
"httpsAgent_1.js","481"
"httpsAgent_2.js","481"
"httpsAgent.js","481"
"iconUpload_1.js","1467"
"iconUpload.js","1467"
"index_1.js","2788"
"index.js","2725"
"layoutUtils.js","4329"
"logBuffer_1.js","892"
"logBuffer.js","892"
"logger_1.js","4190"
"logger_2.js","1049"
"logger_3.js","3490"
"logger.js","3490"
"permissions_1.js","1565"
"permissions_2.js","1027"
"permissions.js","1027"
"postcss.config.js","103"
"profile_1.js","6456"
"profile_2.js","6456"
"profile.js","6456"
"profileUpload_1.js","841"
"profileUpload.js","828"
"session_1.js","1209"
"session_2.js","1209"
"session.js","1209"
"system_1.js","1680"
"system.js","1680"
"tabs.js","5196"
"tailwind.config.js","204"
"test-auth-api_1.js","1304"
"test-auth-api_2.js","1304"
"test-auth-api.js","1304"
"test-config_1.js","2165"
"test-config_2.js","2165"
"test-config-routes_1.js","2491"
"test-config-routes_2.js","2491"
"test-config-routes.js","2491"
"test-config.js","2165"
"test-logger_1.js","1187"
"test-logger_2.js","1187"
"test-logger.js","1187"
"test-permissions_1.js","1613"
"test-permissions_2.js","1613"
"test-permissions.js","1613"
"test-users_1.js","1179"
"test-users_2.js","1179"
"test-users.js","1179"
"theme_1.js","3542"
"theme_2.js","3542"
"theme.js","3542"
"useIntegration_1.js","399"
"useIntegration_2.js","399"
"useIntegration.js","400"
"userConfig_1.js","2645"
"userConfig.js","7301"
"vite.config.js","722"
"widgetRegistry_1.js","5955"
"widgetRegistry_2.js","7076"
"widgetRegistry.js","7526"
"widgets_1.js","2951"
"widgets_2.js","2951"
"widgets.js","2951"
