"Name","Length"
"ActiveWidgets_1.jsx","8022"
"ActiveWidgets.jsx","5765"
"AddWidgetModal_1.jsx","12741"
"AddWidgetModal.jsx","11607"
"AdvancedSettings.jsx","2755"
"App.jsx","4298"
"AppDataContext_1.jsx","3015"
"AppDataContext.jsx","3176"
"AppTitle_1.jsx","1175"
"AppTitle.jsx","1175"
"AuthSettings_1.jsx","14902"
"AuthSettings.jsx","14902"
"Button_1.jsx","2168"
"Button_2.jsx","2168"
"Button_3.jsx","2168"
"Button.jsx","2168"
"Card.jsx","1631"
"ClockWidget_1.jsx","1734"
"ClockWidget_2.jsx","1734"
"ClockWidget.jsx","6367"
"ConfirmDialog_1.jsx","3989"
"ConfirmDialog_2.jsx","3989"
"ConfirmDialog_3.jsx","3989"
"ConfirmDialog.jsx","3989"
"CustomHTMLWidget_1.jsx","726"
"CustomHTMLWidget_2.jsx","726"
"CustomHTMLWidget_3.jsx","726"
"CustomHTMLWidget.jsx","726"
"CustomizationSettings_1.jsx","33745"
"CustomizationSettings_2.jsx","21574"
"CustomizationSettings_3.jsx","25324"
"CustomizationSettings.jsx","33615"
"Dashboard_1.jsx","19484"
"Dashboard.jsx","28833"
"DashboardOrTabs.jsx","849"
"DebugOverlay_1.jsx","5519"
"DebugOverlay_2.jsx","5519"
"DebugOverlay.jsx","5519"
"DebugSettings_1.jsx","14501"
"DebugSettings_2.jsx","14501"
"DebugSettings_3.jsx","14501"
"DebugSettings.jsx","12625"
"DiagnosticsSettings.jsx","1861"
"ExperimentalSettings_1.jsx","1231"
"ExperimentalSettings_2.jsx","1231"
"ExperimentalSettings_3.jsx","1231"
"ExperimentalSettings.jsx","1231"
"FaviconInjector_1.jsx","3676"
"FaviconInjector.jsx","1586"
"FaviconSettings.jsx","16003"
"IconPicker.jsx","19732"
"Input_1.jsx","2969"
"Input_2.jsx","2969"
"Input.jsx","2969"
"IntegrationsSettings.jsx","15898"
"LinkEditorModal_1.jsx","22842"
"LinkEditorModal_2.jsx","22842"
"LinkEditorModal.jsx","22842"
"LinkGridCard_1.jsx","3371"
"LinkGridCard_2.jsx","3371"
"LinkGridCard.jsx","3371"
"LinkGridSettingsModal_1.jsx","8583"
"LinkGridSettingsModal_2.jsx","8583"
"LinkGridSettingsModal.jsx","8583"
"LinkGridWidget_v2_1.jsx","45775"
"LinkGridWidget_v2.jsx","45775"
"main_1.jsx","347"
